Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
210060 AMARANTE DO MARANHAO;-;-;-;-;-;-;-;1;-;1;-;2
210070 ANAJATUBA;-;-;1;-;-;-;-;-;-;-;-;1
210080 ANAPURUS;-;1;-;-;-;1;-;2;-;-;-;4
210083 APICUM-ACU;-;-;-;-;-;-;-;1;-;-;-;1
210090 ARAIOSES;7;-;-;-;-;-;-;-;-;-;-;7
210095 ARAME;6;1;2;-;-;1;-;4;-;-;3;17
210100 ARARI;-;4;11;15;20;12;11;72;4;20;3;172
210120 BACABAL;-;-;1;-;1;-;-;3;-;-;-;5
210125 BACABEIRA;-;-;2;2;3;-;-;2;-;-;1;10
210140 BALSAS;70;-;20;6;16;9;18;32;4;15;53;243
210150 BARAO DE GRAJAU;11;-;2;1;2;-;-;1;-;1;4;22
210160 BARRA DO CORDA;6;-;25;9;16;9;21;26;2;2;44;160
210177 BELA VISTA DO MARANHAO;-;-;-;-;-;-;-;1;-;-;-;1
210180 BENEDITO LEITE;-;-;1;-;1;2;1;1;-;-;-;6
210190 BEQUIMAO;13;-;-;-;-;-;-;-;-;-;-;13
210200 BOM JARDIM;-;-;-;-;-;-;-;-;-;-;1;1
210203 BOM JESUS DAS SELVAS;1;-;1;-;1;-;-;1;-;-;1;5
210207 BOM LUGAR;-;-;-;-;-;-;-;1;-;1;-;2
210230 BURITI BRAVO;2;-;-;1;1;-;-;-;-;-;-;4
210232 BURITICUPU;9;3;6;2;1;5;2;12;2;4;2;48
210235 BURITIRANA;-;-;-;1;-;-;-;-;-;-;-;1
210255 CAMPESTRE DO MARANHAO;1;-;4;6;5;1;2;3;-;-;2;24
210270 CANTANHEDE;-;-;-;-;1;-;-;-;-;-;-;1
210275 CAPINZAL DO NORTE;1;-;-;-;1;-;-;-;-;-;-;2
210280 CAROLINA;1;1;-;1;1;-;1;1;-;-;1;7
210300 CAXIAS;32;-;36;3;36;4;20;18;5;3;55;212
210317 CENTRO NOVO DO MARANHAO;2;-;-;-;-;-;-;1;-;-;-;3
210320 CHAPADINHA;9;-;3;5;3;-;-;14;1;5;3;43
210325 CIDELANDIA;32;-;2;5;1;1;1;1;1;-;3;47
210330 CODO;7;-;1;3;2;3;3;10;1;-;6;36
210340 COELHO NETO;33;3;7;9;21;32;18;38;3;2;16;182
210350 COLINAS;39;-;1;-;1;-;-;2;-;2;10;55
210355 CONCEICAO DO LAGO-ACU;1;-;-;-;-;-;-;1;-;-;-;2
210360 COROATA;-;-;-;-;1;1;-;1;-;-;-;3
210370 CURURUPU;4;-;-;-;-;-;-;-;-;1;1;6
210375 DAVINOPOLIS;-;-;-;1;-;-;-;-;-;-;-;1
210380 DOM PEDRO;1;-;-;1;3;-;-;1;-;1;-;7
210390 DUQUE BACELAR;2;-;1;-;4;-;1;1;-;-;1;10
210405 ESTREITO;3;-;1;2;2;1;2;7;-;-;3;21
210407 FEIRA NOVA DO MARANHAO;1;-;1;-;-;-;-;1;-;2;-;5
210409 FORMOSA DA SERRA NEGRA;1;-;5;-;2;1;4;6;2;2;-;23
210410 FORTALEZA DOS NOGUEIRAS;23;-;-;-;2;-;-;-;-;1;9;35
210430 GODOFREDO VIANA;-;-;-;-;-;1;-;-;-;-;-;1
210450 GOVERNADOR ARCHER;1;-;-;1;6;2;-;1;-;-;-;11
210455 GOVERNADOR EDISON LOBAO;14;-;-;-;-;1;-;-;-;-;2;17
210460 GOVERNADOR EUGENIO BARROS;5;-;-;-;-;-;-;-;-;-;5;10
210467 GOVERNADOR NUNES FREIRE;2;-;-;-;-;-;-;-;-;-;2;4
210480 GRAJAU;36;-;9;1;1;2;5;14;-;1;57;126
210520 IGARAPE GRANDE;-;-;-;-;-;-;-;1;-;-;1;2
210530 IMPERATRIZ;10;2;25;22;43;23;16;35;5;8;122;311
210540 ITAPECURU MIRIM;3;-;-;-;-;-;2;-;-;-;-;5
210542 ITINGA DO MARANHAO;13;-;1;1;2;1;3;3;-;-;7;31
210545 JATOBA;-;1;-;-;-;-;-;-;-;-;-;1
210550 JOAO LISBOA;-;-;-;-;-;-;-;-;-;-;1;1
210570 LAGO DA PEDRA;-;-;1;-;2;1;1;-;-;-;-;5
210590 LAGO VERDE;1;-;-;-;-;-;-;-;-;-;-;1
210592 LAGOA DO MATO;29;4;11;-;2;1;-;3;-;1;7;58
210594 LAGO DOS RODRIGUES;-;-;1;-;1;1;2;-;-;1;-;6
210598 LAJEADO NOVO;10;1;3;1;3;6;2;6;2;-;9;43
210610 LORETO;1;-;2;-;3;3;1;4;1;-;1;16
210630 MAGALHAES DE ALMEIDA;3;-;-;-;-;-;1;-;-;1;-;5
210632 MARACACUME;-;-;-;-;-;-;-;-;-;1;-;1
210640 MATA ROMA;1;-;-;-;-;-;-;3;-;-;-;4
210660 MATOES;-;4;1;-;4;11;1;1;-;2;1;25
210667 MILAGRES DO MARANHAO;-;-;-;-;-;-;-;-;-;1;-;1
210670 MIRADOR;-;-;-;-;-;-;-;1;-;-;-;1
210675 MIRANDA DO NORTE;14;-;-;-;-;-;-;1;-;-;-;15
210700 MONTES ALTOS;1;-;1;-;2;-;-;-;-;-;-;4
210730 NOVA IORQUE;-;-;-;-;-;-;-;1;-;-;-;1
210750 PACO DO LUMIAR;3;-;-;-;-;-;1;-;-;1;-;5
210770 PARAIBANO;14;22;49;15;35;6;26;56;2;12;22;259
210780 PARNARAMA;2;4;6;8;16;7;6;15;1;2;9;76
210790 PASSAGEM FRANCA;1;4;8;6;8;4;8;12;-;1;7;59
210810 PAULO RAMOS;3;-;-;-;1;-;-;8;-;-;-;12
210820 PEDREIRAS;2;-;-;-;-;-;1;3;-;1;1;8
210830 PENALVA;1;-;-;-;-;-;-;-;-;-;-;1
210850 PINDARE-MIRIM;-;-;1;-;-;-;-;3;-;1;1;6
210860 PINHEIRO;1;-;4;1;-;5;3;4;-;-;2;20
210870 PIO XII;-;1;2;-;2;1;1;2;-;1;1;11
210880 PIRAPEMAS;-;-;-;-;1;-;-;2;-;2;1;6
210900 PORTO FRANCO;-;-;2;10;13;3;12;27;-;3;7;77
210905 PORTO RICO DO MARANHAO;-;-;-;-;-;-;-;1;-;-;-;1
210910 PRESIDENTE DUTRA;2;-;1;2;-;1;-;2;-;-;7;15
210950 RIACHAO;-;-;1;-;1;-;-;-;-;-;-;2
210955 RIBAMAR FIQUENE;3;-;-;1;3;1;2;3;-;-;-;13
210970 SAMBAIBA;10;-;-;-;1;-;1;1;-;1;-;14
210980 SANTA HELENA;4;-;3;1;2;-;1;6;1;-;3;21
210990 SANTA INES;-;1;6;2;9;10;2;4;-;1;2;37
211000 SANTA LUZIA;-;2;2;1;1;3;2;3;-;1;-;15
211010 SANTA QUITERIA DO MARANHAO;-;-;-;-;2;-;-;1;-;-;-;3
211020 SANTA RITA;3;-;3;-;4;-;1;5;-;-;1;17
211023 SANTANA DO MARANHAO;1;-;-;-;-;1;2;-;-;-;-;4
211040 SAO BENEDITO DO RIO PRETO;-;-;-;1;-;-;-;-;-;-;-;1
211050 SAO BENTO;-;-;-;-;-;-;-;-;-;1;-;1
211060 SAO BERNARDO;-;-;-;-;1;-;-;-;-;-;-;1
211065 SAO DOMINGOS DO AZEITAO;7;-;-;-;-;-;-;-;-;-;-;7
211085 SAO FRANCISCO DO BREJAO;-;-;1;-;-;2;1;1;-;-;1;6
211090 SAO FRANCISCO DO MARANHAO;28;-;1;-;1;-;1;6;-;1;1;39
211105 SAO JOAO DO PARAISO;1;-;3;-;-;-;2;-;-;2;-;8
211110 SAO JOAO DOS PATOS;1;-;-;-;2;1;1;1;1;2;2;11
211120 SAO JOSE DE RIBAMAR;12;-;3;2;1;1;4;9;-;3;2;37
211125 SAO JOSE DOS BASILIOS;9;-;-;-;1;-;-;-;-;-;-;10
211130 SAO LUIS;201;11;140;123;227;74;249;813;82;129;402;2451
211140 SAO LUIS GONZAGA DO MARANHAO;-;1;1;-;2;1;-;1;1;-;-;7
211150 SAO MATEUS DO MARANHAO;4;-;-;-;-;-;-;3;1;1;1;10
211153 SAO PEDRO DA AGUA BRANCA;1;-;1;1;-;-;2;-;1;-;1;7
211157 SAO PEDRO DOS CRENTES;3;1;2;2;1;1;-;1;-;-;2;13
211160 SAO RAIMUNDO DAS MANGABEIRAS;49;1;6;1;-;89;4;15;-;1;26;192
211172 SATUBINHA;4;1;-;-;-;-;-;1;-;3;1;10
211174 SENADOR ALEXANDRE COSTA;2;-;-;-;-;-;-;1;-;-;2;5
211180 SITIO NOVO;1;-;1;-;2;1;2;4;-;1;-;12
211190 SUCUPIRA DO NORTE;2;-;-;-;1;-;-;-;-;1;-;4
211195 SUCUPIRA DO RIACHAO;10;-;4;-;2;1;1;1;-;3;4;26
211200 TASSO FRAGOSO;9;1;9;3;8;5;11;20;4;4;7;81
211220 TIMON;798;-;1;3;3;4;9;15;2;4;30;869
211223 TRIZIDELA DO VALE;3;-;-;-;-;-;1;-;-;-;-;4
211245 TURILANDIA;-;-;-;-;-;-;-;-;2;-;-;2
211250 TUTOIA;8;2;1;1;-;1;2;1;-;-;2;18
211270 VARGEM GRANDE;-;-;-;1;-;-;-;1;-;-;-;2
211290 VITORIA DO MEARIM;5;-;-;-;-;1;-;2;-;-;5;13
211300 VITORINO FREIRE;-;-;1;-;-;-;-;-;-;-;-;1
211400 ZE DOCA;6;-;1;1;2;-;-;2;-;-;2;14
220005 ACAUA;8;-;2;1;9;4;1;5;-;-;5;35
220010 AGRICOLANDIA;12;-;2;-;-;-;4;1;-;-;-;19
220020 AGUA BRANCA;57;-;1;-;9;3;8;10;-;7;10;105
220025 ALAGOINHA DO PIAUI;3;-;-;-;-;-;-;-;-;-;-;3
220027 ALEGRETE DO PIAUI;7;-;3;2;3;1;-;3;-;1;4;24
220030 ALTO LONGA;7;3;6;7;9;4;11;7;2;2;2;60
220040 ALTOS;7;-;1;-;-;2;-;-;-;-;-;10
220045 ALVORADA DO GURGUEIA;2;-;-;-;-;-;-;-;-;-;-;2
220050 AMARANTE;22;-;-;-;-;2;2;4;-;1;-;31
220060 ANGICAL DO PIAUI;77;-;-;-;-;-;-;-;-;1;5;83
220070 ANISIO DE ABREU;29;-;-;1;1;2;-;-;-;3;3;39
220080 ANTONIO ALMEIDA;24;-;-;2;21;15;4;24;3;6;12;111
220090 AROAZES;5;-;1;-;-;-;-;-;-;3;-;9
220095 AROEIRAS DO ITAIM;-;-;-;2;-;-;-;-;-;-;1;3
220100 ARRAIAL;3;-;-;1;-;-;-;-;-;-;-;4
220105 ASSUNCAO DO PIAUI;-;1;-;-;-;-;-;-;-;-;-;1
220110 AVELINO LOPES;55;-;-;-;-;-;-;-;-;1;14;70
220115 BAIXA GRANDE DO RIBEIRO;1;-;1;1;3;3;8;3;1;4;-;25
220117 BARRA D'ALCANTARA;8;2;2;-;4;2;1;10;-;4;2;35
220120 BARRAS;17;-;1;-;1;-;1;5;1;2;1;29
220130 BARREIRAS DO PIAUI;5;-;-;-;-;-;-;-;-;-;1;6
220140 BARRO DURO;16;-;1;-;-;-;1;-;-;1;6;25
220150 BATALHA;4;-;1;-;-;-;-;1;-;-;-;6
220155 BELA VISTA DO PIAUI;13;-;1;2;2;-;1;3;-;-;1;23
220157 BELEM DO PIAUI;9;1;3;3;3;5;1;7;-;3;2;37
220160 BENEDITINOS;36;1;1;-;-;-;1;2;-;1;-;42
220170 BERTOLINIA;14;-;-;3;5;4;2;-;-;1;3;32
220173 BETANIA DO PIAUI;18;-;2;-;4;1;2;2;-;-;3;32
220177 BOA HORA;1;-;-;-;-;-;-;-;-;-;-;1
220180 BOCAINA;4;-;-;-;-;-;-;2;-;-;-;6
220190 BOM JESUS;63;-;1;-;1;-;2;2;1;6;10;86
220191 BOM PRINCIPIO DO PIAUI;4;-;-;-;-;-;-;-;-;-;-;4
220192 BONFIM DO PIAUI;4;-;1;1;-;-;-;-;-;-;-;6
220196 BRASILEIRA;8;-;-;-;-;-;-;-;1;1;-;10
220198 BREJO DO PIAUI;16;-;-;-;-;-;-;-;-;-;1;17
220200 BURITI DOS LOPES;12;-;-;-;1;2;4;5;1;1;1;27
220202 BURITI DOS MONTES;20;-;2;2;4;-;6;3;2;7;2;48
220207 CAJAZEIRAS DO PIAUI;5;-;1;-;-;-;-;-;-;-;-;6
220208 CAJUEIRO DA PRAIA;41;-;11;2;4;2;6;13;5;9;17;110
220210 CAMPINAS DO PIAUI;17;-;-;-;-;-;-;-;-;-;-;17
220211 CAMPO ALEGRE DO FIDALGO;2;-;-;-;-;-;-;-;-;-;-;2
220213 CAMPO GRANDE DO PIAUI;1;4;7;5;7;3;-;5;2;1;5;40
220220 CAMPO MAIOR;68;4;13;8;22;18;24;52;14;30;9;262
220230 CANTO DO BURITI;224;-;1;-;-;1;1;-;-;2;8;237
220240 CAPITAO DE CAMPOS;4;-;-;-;-;-;1;-;-;1;-;6
220253 CARAUBAS DO PIAUI;-;-;2;-;1;-;-;1;-;-;-;4
220260 CASTELO DO PIAUI;-;2;1;-;1;-;1;2;-;1;-;8
220265 CAXINGO;-;1;-;-;-;-;-;-;-;-;-;1
220270 COCAL;8;1;-;1;3;1;2;2;-;3;2;23
220271 COCAL DE TELHA;7;-;-;-;3;1;7;1;-;1;1;21
220272 COCAL DOS ALVES;-;-;-;-;1;-;1;2;-;2;-;6
220273 COIVARAS;-;-;-;-;-;-;-;4;-;-;1;5
220275 COLONIA DO GURGUEIA;-;-;-;-;2;-;-;9;-;2;-;13
220280 CONCEICAO DO CANINDE;61;-;-;-;-;-;2;3;-;1;2;69
220285 CORONEL JOSE DIAS;-;-;1;-;1;-;1;1;-;-;1;5
220290 CORRENTE;-;-;2;-;-;-;1;1;-;-;-;4
220310 CRISTINO CASTRO;4;-;-;-;-;-;-;-;-;-;-;4
220320 CURIMATA;39;4;25;6;18;6;12;34;8;18;12;182
220325 CURRALINHOS;1;-;4;3;3;2;7;17;1;1;3;42
220327 CURRAL NOVO DO PIAUI;1;1;3;1;2;-;4;2;-;-;5;19
220330 DEMERVAL LOBAO;4;-;-;-;-;-;1;1;-;-;5;11
220335 DIRCEU ARCOVERDE;52;-;1;-;-;-;2;1;-;1;9;66
220340 DOM EXPEDITO LOPES;6;-;1;-;-;1;1;-;-;2;-;11
220345 DOM INOCENCIO;67;-;5;1;5;2;8;18;-;8;8;122
220350 ELESBAO VELOSO;7;-;10;1;6;1;3;5;-;2;-;35
220360 ELISEU MARTINS;2;-;1;-;2;3;2;5;-;-;2;17
220370 ESPERANTINA;107;-;8;8;21;19;21;36;1;23;27;271
220375 FARTURA DO PIAUI;-;-;-;-;2;3;3;1;-;-;-;9
220380 FLORES DO PIAUI;23;-;-;-;-;-;-;1;-;1;3;28
220390 FLORIANO;95;3;5;5;9;18;21;17;4;12;27;216
220410 FRANCISCO AYRES;3;-;3;2;4;2;5;1;2;3;2;27
220415 FRANCISCO MACEDO;-;-;-;1;1;-;-;-;-;-;-;2
220420 FRANCISCO SANTOS;5;-;-;-;-;2;-;1;-;1;-;9
220430 FRONTEIRAS;1;-;-;-;-;-;-;4;-;-;-;5
220435 GEMINIANO;63;1;5;-;3;2;1;6;-;2;5;88
220450 GUADALUPE;5;-;-;-;5;7;12;7;-;1;5;42
220455 GUARIBAS;10;-;1;1;1;-;1;-;1;1;1;17
220460 HUGO NAPOLEAO;12;1;-;-;2;-;-;-;1;2;-;18
220465 ILHA GRANDE;14;-;-;-;-;-;1;1;1;1;1;19
220470 INHUMA;100;6;32;7;32;11;27;72;5;18;15;325
220480 IPIRANGA DO PIAUI;28;4;3;2;2;-;2;5;1;2;15;64
220490 ISAIAS COELHO;13;-;1;1;5;2;5;4;-;-;5;36
220500 ITAINOPOLIS;6;1;15;18;9;17;18;10;4;3;9;110
220510 ITAUEIRA;2;-;-;-;1;-;-;2;-;-;-;5
220515 JACOBINA DO PIAUI;3;5;7;2;3;4;2;12;-;7;-;45
220520 JAICOS;325;1;17;4;1;1;-;2;1;1;36;389
220525 JARDIM DO MULATO;5;-;3;-;-;-;-;-;-;-;1;9
220527 JATOBA DO PIAUI;14;-;-;-;-;-;1;1;-;1;1;18
220530 JERUMENHA;17;-;1;3;-;6;2;5;-;2;-;36
220540 JOAQUIM PIRES;10;-;1;-;-;-;-;-;-;-;-;11
220550 JOSE DE FREITAS;32;1;4;1;6;8;4;16;2;6;11;91
220551 JUAZEIRO DO PIAUI;3;-;-;-;-;-;-;-;-;-;1;4
220552 JULIO BORGES;-;-;-;-;1;-;-;1;1;-;-;3
220553 JUREMA;1;-;-;-;1;-;-;-;1;2;-;5
220554 LAGOINHA DO PIAUI;3;-;1;1;2;2;-;-;-;-;2;11
220555 LAGOA ALEGRE;1;-;-;-;-;-;-;2;-;-;-;3
220556 LAGOA DO BARRO DO PIAUI;2;-;-;-;-;-;-;1;-;-;1;4
220557 LAGOA DE SAO FRANCISCO;6;-;1;-;2;1;-;1;-;-;-;11
220558 LAGOA DO PIAUI;-;-;1;-;3;-;-;-;-;1;2;7
220560 LANDRI SALES;5;-;-;-;1;-;-;2;1;-;1;10
220570 LUIS CORREIA;15;7;70;4;36;21;29;45;12;12;11;262
220580 LUZILANDIA;7;-;-;-;-;-;-;-;-;-;2;9
220585 MADEIRO;-;-;-;-;1;-;-;-;-;1;-;2
220590 MANOEL EMIDIO;3;-;-;-;-;-;-;-;-;-;1;4
220595 MARCOLANDIA;-;-;-;-;-;-;1;1;-;-;-;2
220600 MARCOS PARENTE;8;-;-;-;-;-;-;1;-;-;-;9
220605 MASSAPE DO PIAUI;92;-;11;11;31;28;27;6;-;1;17;224
220610 MATIAS OLIMPIO;58;2;2;3;4;3;3;2;-;-;4;81
220620 MIGUEL ALVES;44;-;-;-;2;-;-;4;-;-;1;51
220630 MIGUEL LEAO;5;1;1;1;4;2;2;2;-;1;-;19
220635 MILTON BRANDAO;62;-;-;-;-;-;1;-;-;-;16;79
220640 MONSENHOR GIL;49;-;-;2;5;6;8;2;-;2;4;78
220650 MONSENHOR HIPOLITO;125;-;1;1;3;-;3;1;-;4;14;152
220665 MORRO CABECA NO TEMPO;13;-;9;-;10;2;6;17;-;4;6;67
220667 MORRO DO CHAPEU DO PIAUI;1;-;2;1;4;1;3;8;1;-;4;25
220669 MURICI DOS PORTELAS;-;1;-;-;1;-;-;-;-;-;4;6
220670 NAZARE DO PIAUI;20;-;-;-;-;-;-;1;-;-;3;24
220672 NAZARIA;18;-;7;6;16;2;7;18;-;-;8;82
220675 NOSSA SENHORA DE NAZARE;-;-;-;-;-;-;-;-;-;1;-;1
220680 NOSSA SENHORA DOS REMEDIOS;11;-;2;1;1;1;2;9;-;7;-;34
220690 NOVO ORIENTE DO PIAUI;28;4;11;7;16;10;7;19;1;8;5;116
220695 NOVO SANTO ANTONIO;116;-;-;-;-;-;-;-;-;-;2;118
220700 OEIRAS;431;-;-;-;1;-;-;-;-;1;52;485
220710 OLHO D'AGUA DO PIAUI;1;-;5;5;1;1;2;1;1;-;-;17
220720 PADRE MARCOS;-;-;-;-;-;-;-;1;-;3;-;4
220730 PAES LANDIM;20;-;-;2;3;1;1;3;-;-;1;31
220735 PAJEU DO PIAUI;5;-;-;-;2;1;-;1;-;1;1;11
220740 PALMEIRA DO PIAUI;1;-;-;-;-;-;-;-;-;-;-;1
220750 PALMEIRAIS;-;1;4;1;-;-;1;-;-;-;-;7
220755 PAQUETA;2;2;7;1;9;2;2;7;1;2;2;37
220760 PARNAGUA;13;-;1;2;-;-;-;2;-;2;2;22
220770 PARNAIBA;1547;5;31;28;43;38;73;108;22;47;318;2260
220775 PASSAGEM FRANCA DO PIAUI;1;-;1;2;1;-;-;1;-;-;1;7
220777 PATOS DO PIAUI;66;3;30;13;11;7;3;35;3;15;11;197
220779 PAU D'ARCO DO PIAUI;-;-;-;-;1;-;-;-;-;-;-;1
220780 PAULISTANA;75;10;32;11;40;18;27;60;5;17;21;316
220790 PEDRO II;167;-;-;-;1;-;-;-;1;-;31;200
220793 PEDRO LAURENTINO;-;-;2;-;-;-;-;1;-;3;2;8
220795 NOVA SANTA RITA;3;-;-;-;-;-;-;1;-;1;1;6
220800 PICOS;689;5;22;10;11;12;20;43;4;26;55;897
220810 PIMENTEIRAS;14;1;-;3;3;3;2;7;-;1;5;39
220820 PIO IX;7;-;-;-;2;1;2;7;1;-;1;21
220830 PIRACURUCA;5;8;18;13;22;21;18;65;8;32;35;245
220840 PIRIPIRI;1;-;4;1;3;2;14;26;-;2;6;59
220855 PORTO ALEGRE DO PIAUI;1;1;-;-;-;-;-;1;-;1;-;4
220860 PRATA DO PIAUI;3;-;-;-;-;-;-;-;1;-;-;4
220865 QUEIMADA NOVA;13;-;-;-;-;-;-;-;-;-;1;14
220870 REDENCAO DO GURGUEIA;-;-;-;-;-;1;-;-;-;-;-;1
220880 REGENERACAO;18;1;-;-;2;1;3;2;1;3;8;39
220887 RIBEIRA DO PIAUI;-;-;-;1;-;-;1;-;-;1;-;3
220890 RIBEIRO GONCALVES;80;-;-;-;-;-;-;-;-;-;14;94
220900 RIO GRANDE DO PIAUI;12;1;2;1;5;1;6;3;-;-;2;33
220910 SANTA CRUZ DO PIAUI;2;9;5;3;4;6;4;11;-;4;7;55
220915 SANTA CRUZ DOS MILAGRES;1;-;-;-;-;-;-;-;-;-;-;1
220920 SANTA FILOMENA;70;1;2;-;1;-;1;1;-;-;34;110
220935 SANTANA DO PIAUI;1;-;3;1;-;2;-;2;1;1;3;14
220937 SANTA ROSA DO PIAUI;1;-;-;-;-;-;-;-;-;-;-;1
220940 SANTO ANTONIO DE LISBOA;2;1;7;-;1;1;1;2;-;-;-;15
220945 SANTO ANTONIO DOS MILAGRES;1;-;-;-;-;-;-;-;-;-;2;3
220950 SANTO INACIO DO PIAUI;15;1;2;-;1;-;-;2;-;-;-;21
220955 SAO BRAZ DO PIAUI;1;-;-;-;-;-;-;-;-;1;-;2
220960 SAO FELIX DO PIAUI;12;-;-;-;-;1;-;-;-;-;-;13
220965 SAO FRANCISCO DE ASSIS DO PIAUI;19;-;-;1;2;2;-;1;-;1;2;28
220975 SAO GONCALO DO GURGUEIA;1;-;1;-;-;-;-;-;-;-;-;2
220980 SAO GONCALO DO PIAUI;9;-;1;1;-;-;-;2;-;-;4;17
220985 SAO JOAO DA CANABRAVA;17;2;2;2;1;1;2;-;-;1;1;29
220987 SAO JOAO DA FRONTEIRA;1;2;-;-;-;-;-;-;-;-;1;4
220990 SAO JOAO DA SERRA;5;2;5;3;2;6;4;18;-;4;5;54
220995 SAO JOAO DA VARJOTA;1;-;-;-;-;-;-;1;-;-;-;2
220997 SAO JOAO DO ARRAIAL;3;-;1;-;1;-;-;1;-;-;-;6
221000 SAO JOAO DO PIAUI;17;1;5;-;5;-;8;8;-;5;1;50
221005 SAO JOSE DO DIVINO;47;4;11;8;16;8;13;44;2;13;4;170
221010 SAO JOSE DO PEIXE;4;-;-;-;-;-;-;-;-;-;2;6
221020 SAO JOSE DO PIAUI;1;1;17;15;23;5;6;47;2;6;3;126
221030 SAO JULIAO;4;-;3;-;2;2;1;7;-;2;1;22
221035 SAO LOURENCO DO PIAUI;1;-;3;11;-;5;1;5;1;1;3;31
221038 SAO MIGUEL DA BAIXA GRANDE;3;-;1;1;2;1;-;2;1;-;1;12
221040 SAO MIGUEL DO TAPUIO;23;-;1;-;2;-;1;2;-;-;5;34
221050 SAO PEDRO DO PIAUI;26;9;26;5;50;29;26;63;8;26;21;289
221060 SAO RAIMUNDO NONATO;395;1;1;1;1;1;1;-;2;-;50;453
221063 SEBASTIAO LEAL;13;-;6;1;1;2;-;2;-;-;7;32
221070 SIMOES;12;6;14;4;23;8;13;17;2;16;6;121
221080 SIMPLICIO MENDES;265;-;5;4;5;1;6;15;3;10;17;331
221090 SOCORRO DO PIAUI;60;-;-;-;-;-;-;-;-;-;2;62
221095 TAMBORIL DO PIAUI;1;-;-;-;-;-;1;2;-;1;2;7
221097 TANQUE DO PIAUI;40;-;1;1;-;2;-;9;-;5;8;66
221100 TERESINA;14055;41;187;92;255;159;297;880;214;387;1448;18015
221110 UNIAO;331;-;-;-;-;-;-;-;1;-;24;356
221120 URUCUI;5;-;1;1;-;-;3;4;1;-;2;17
221130 VALENCA DO PIAUI;35;3;14;7;21;10;5;25;1;14;15;150
221135 VARZEA BRANCA;-;-;-;-;1;1;1;1;-;-;-;4
221140 VARZEA GRANDE;6;-;1;-;1;1;2;3;-;5;-;19
221150 VERA MENDES;9;3;1;1;3;-;2;3;-;-;2;24
221160 VILA NOVA DO PIAUI;27;-;-;-;-;-;-;1;-;-;2;30
221170 WALL FERRAZ;13;-;3;6;12;29;40;37;4;5;2;151
230010 ABAIARA;-;-;-;-;1;-;-;1;-;1;-;3
230015 ACARAPE;2;-;-;-;-;-;-;1;-;-;2;5
230020 ACARAU;10;-;-;1;2;-;1;8;-;1;1;24
230030 ACOPIARA;-;1;2;2;2;3;2;8;-;1;2;23
230040 AIUABA;72;12;16;10;21;11;14;41;5;7;12;221
230050 ALCANTARAS;49;-;6;3;9;3;5;7;3;1;4;90
230070 ALTO SANTO;-;-;1;1;2;-;-;-;-;2;-;6
230075 AMONTADA;1;-;3;3;3;-;1;5;-;1;-;17
230080 ANTONINA DO NORTE;1;-;-;-;1;-;-;-;-;-;-;2
230090 APUIARES;2;1;-;-;-;-;1;1;-;-;2;7
230100 AQUIRAZ;17;-;-;-;1;-;3;2;2;-;3;28
230110 ARACATI;1;4;23;28;35;32;43;110;21;29;14;340
230120 ARACOIABA;3;1;-;-;1;-;3;3;1;2;1;15
230125 ARARENDA;-;1;4;-;2;2;3;9;-;2;2;25
230130 ARARIPE;-;-;-;-;1;-;-;-;1;1;-;3
230140 ARATUBA;59;16;67;18;39;18;50;115;16;33;39;470
230150 ARNEIROZ;-;-;1;-;-;-;-;4;2;-;1;8
230160 ASSARE;12;8;12;1;15;5;9;15;-;6;11;94
230170 AURORA;-;-;2;-;-;-;-;-;-;-;-;2
230180 BAIXIO;-;1;1;-;2;-;-;6;-;-;-;10
230185 BANABUIU;-;-;2;-;11;3;5;14;2;4;8;49
230190 BARBALHA;88;2;2;1;4;3;4;13;-;7;18;142
230195 BARREIRA;-;-;1;3;-;-;-;-;-;-;2;6
230200 BARRO;88;-;3;-;-;3;4;11;2;1;6;118
230205 BARROQUINHA;-;-;-;-;-;-;-;2;-;1;-;3
230210 BATURITE;-;-;-;1;4;1;1;2;1;1;6;17
230220 BEBERIBE;267;-;3;1;4;1;-;14;-;-;30;320
230230 BELA CRUZ;53;8;43;22;71;39;46;190;11;64;23;570
230240 BOA VIAGEM;103;5;7;7;22;3;12;26;1;8;37;231
230250 BREJO SANTO;28;24;66;23;88;25;95;211;18;32;31;641
230260 CAMOCIM;5;1;7;1;13;3;11;75;-;5;8;129
230270 CAMPOS SALES;6;-;1;-;7;-;-;-;1;2;1;18
230280 CANINDE;-;1;5;8;2;3;2;16;-;2;13;52
230290 CAPISTRANO;20;-;3;2;-;1;1;2;-;4;11;44
230300 CARIDADE;15;-;2;5;5;-;-;1;-;2;4;34
230310 CARIRE;3;-;2;-;1;3;7;6;1;3;1;27
230320 CARIRIACU;2;-;1;-;2;-;2;1;-;2;4;14
230330 CARIUS;-;-;1;1;-;-;-;3;-;1;-;6
230340 CARNAUBAL;-;-;-;2;1;-;2;1;2;4;1;13
230350 CASCAVEL;248;-;4;4;12;148;22;25;-;2;30;495
230360 CATARINA;-;-;1;-;-;1;-;2;-;-;-;4
230365 CATUNDA;1;-;-;-;-;1;1;-;-;-;-;3
230370 CAUCAIA;487;-;2;5;17;8;14;50;7;13;35;638
